Campaign_ID,Channel,Product_Category,Region,Budget,Spend,Impressions,Clicks,CTR,Conversions,CR,Revenue,ROI,Duration,Start_Date,End_Date,Customer_Satisfaction,Campaign_Effectiveness,Market_Segment
CAM0001,Billboard,Fashion,Kuala Lumpur,484341.0,197038.0,545901.0,,0.0785,7993.0,0.3414,849005.0,0.64,212.0,2/3/2023,23/12/2023,3.0,3.0,Medium
CAM0002,,Health,Sarawak,468792.0,33743.0,527513.0,4130.0,0.9479,9459.0,,921078.0,3.78,29.0,,,3.0,7.0,Medium
CAM0003,Radio,Electronics,Penang,10487.0,6745.0,806911.0,12209.0,,7168.0,0.0517,51142.0,3.64,74.0,12/4/2023,20/10/2023,1.0,2.0,Medium
CAM0004,Email,Electronics,Penang,345431.0,329112.0,108570.0,34391.0,0.6157,7190.0,0.3579,191887.0,2.64,67.0,24/4/2023,26/1/2023,5.0,6.0,High
CAM0005,Radio,Fashion,Kuala Lumpur,322345.0,34365.0,799855.0,13056.0,,1794.0,0.0544,167241.0,1.02,40.0,10/1/2023,1/1/2023,5.0,6.0,Low
CAM0006,TV,Electronics,Penang,422726.0,,25680.0,16342.0,0.7683,9786.0,0.3395,480187.0,1.81,174.0,16/8/2023,15/6/2023,5.0,3.0,Medium
CAM0007,Radio,Automotive,Sarawak,,444126.0,81342.0,35053.0,0.0303,290.0,0.5596,753564.0,2.69,105.0,21/6/2023,7/7/2023,4.0,7.0,High
CAM0008,Billboard,Groceries,,406954.0,64007.0,180250.0,17104.0,0.7427,8704.0,0.9349,987174.0,0.39,59.0,13/6/2023,19/10/2023,4.0,44.45747469,Low
CAM0009,,Electronics,Johor,,71027.0,543474.0,3181.0,0.5424,20614.52929,,318098.0,1.5,358.0,21/6/2023,5/12/2023,3.0,10.0,High
CAM0010,Radio,Automotive,,399568.0,297974.0,319054.0,36693.0,0.1588,3160.0,0.776,823506.0,2.32,272.0,22/5/2023,5/11/2023,,9.0,Medium
CAM0011,Email,Automotive,Penang,2950122.353,273202.0,,5772.0,0.1026,6146.0,0.5987,696597.0,4.34,100.0,26/1/2023,1/2/2023,5.0,7.0,Low
CAM0012,TV,Groceries,Johor,494293.0,345013.0,278502.0,29474.0,0.456,6381.0,0.1074,538807.0,0.71,21.0,20/6/2023,,,8.0,Medium
CAM0013,Social Media,Automotive,Sabah,93840.0,1768613.217,312459.0,,0.7807,2031.0,6.35947639,287196.0,,1911.832921,19/11/2023,17/3/2023,3.0,10.0,High
CAM0014,TV,Automotive,Kuala Lumpur,92250.0,238467.0,605504.0,37505.0,0.8509,8023.0,,689118.0,0.51,95.0,18/2/2023,22/9/2023,1.0,9.0,Low
